20240917	16:41:02	7aa7fa00-1e98-4035-8930-4bda2df2e20b	/new-page.html	GET
20240917	16:41:02	0e874906-ff23-484d-91c0-ec49eb3ccd9a	/css/style.css	GET
20240917	16:41:02	1e967d42-c32b-4909-9f18-62ce2cc447b0	/img/img1.jpg	GET
20240917	16:42:51	bb186234-d9d1-4cdd-bc3e-d20ff87a560b	/	GET
20240917	16:42:51	40e277e2-082f-4388-a03a-8f7b93be64cb	/css/style.css	GET
20240918	10:53:06	62adbda1-51fc-4441-8677-4a9680fd1048	GET	undefined	/index
20240918	10:53:06	815a8648-f4fe-4109-95cb-186737b44dce	GET	undefined	/css/style.css
20240918	10:53:19	f3e4924a-f1c3-45fa-9a8b-36b909d3fbb2	GET	undefined	/index
20240918	10:53:19	5fe38f04-a96c-4709-94b8-3b048931f0bf	GET	undefined	/css/style.css
20240918	10:56:12	252b211c-b2a7-4f1a-812f-0c13b547de29	OPTIONS	https://www.canva.com	/
20240918	10:56:12	0c1160d6-bf1c-4199-b34f-2078033bfc54	GET	https://www.canva.com	/
20240918	10:59:08	183604f1-7511-41bb-bf78-f62ef9fc366b	OPTIONS	https://www.canva.com	/
20240918	10:59:08	6aeee85b-060e-4dea-9d76-9eeeb1f56c2f	GET	https://www.canva.com	/
20240918	11:05:38	2bb23baf-5226-4316-a2df-3aa3e3dc195b	OPTIONS	https://www.canva.com	/
20240918	11:05:38	947dc5d9-2aa7-4a20-aa63-a06dee5ad932	GET	https://www.canva.com	/
20240918	11:06:42	b6f2d7e6-b9bf-4ebf-a387-48a04348e4b3	OPTIONS	https://www.canva.com	/
20240918	11:06:42	5a5635aa-8f72-4634-8ed6-3cf7faf91fb6	GET	https://www.canva.com	/
20240918	11:11:57	06576e5b-ec4e-47f7-ad1c-07042f058bee	GET	undefined	/index
20240918	11:13:00	440c3b81-54a8-439a-971a-d796d967d5c8	GET	undefined	/index
20240918	11:13:01	21a46425-0bfc-4721-82a1-65465644f4cf	GET	undefined	/css/style.css
20240918	11:35:02	f234c72e-7077-4a69-9507-1afb2c12eef7	GET	undefined	/index
20240918	11:36:56	f2da62c1-05f7-412b-9802-4f2483b0fcab	GET	undefined	/index
20240918	11:41:15	698388a8-157f-4040-ac91-506278294744	GET	undefined	/index
20240918	11:41:15	0580ec29-54b2-47c3-a3f4-6e411baae5b6	GET	undefined	/css/style.css
20240918	11:44:43	3c49865d-e735-4442-9bc2-3abeef3115f9	GET	undefined	/data/data.json
20240918	11:44:44	d908ef71-f262-4f1e-9194-ccd8c8c90dc5	GET	undefined	/dave
20240918	11:44:44	25088b63-7a83-4502-b245-9680e40dfbbc	GET	undefined	/css/style.css
20240918	11:47:38	f7d0fd14-7404-48fb-a14a-3591aa437d56	GET	undefined	/dave
20240927	09:15:42	b72a66dc-2433-4d1c-9b33-04a3a7f16df7	GET	undefined	/
20240927	09:15:42	f4247bc7-195f-448d-8306-78dd7bfeb2d7	GET	undefined	/css/style.css
20240927	09:15:42	8b72616d-26f1-4e2c-9abd-24338e58b1bf	GET	undefined	/favicon.ico
20240927	09:15:50	6e19dda9-39c2-4fd6-bbde-e4445e36089f	GET	undefined	/data/data.json
20240927	09:15:51	94ce866f-1010-4c3b-a265-df58a65c992e	GET	undefined	/dave
20240927	09:19:26	314ea279-1826-46f2-b81e-ac88beec2944	GET	undefined	/connor
20240927	09:19:31	deaff407-3807-4938-a7a1-985305a66a42	GET	undefined	/
20240927	09:19:31	2422192d-a12e-47e1-87ea-ccea1f74a4fe	GET	undefined	/css/style.css
20240927	09:19:39	35f23c3b-7a79-439e-afee-76c0136fa396	GET	undefined	/new-page.html
20240927	09:19:39	3d9bfd22-cb38-4085-8da4-dcf717f566ec	GET	undefined	/css/style.css
20240927	09:19:39	5f03757d-d756-4198-a014-a0fd1f0b83a7	GET	undefined	/img/img1.jpg
20240927	09:19:46	0793be86-7eef-4d78-8826-fdceeff27df6	GET	undefined	/old%20page
20240927	09:19:54	2a52ee8f-53e7-4cce-bf4a-667646fd2b64	GET	undefined	/old-page.html
20240927	09:19:54	95705ec3-f60c-46cd-9849-609534d2e38c	GET	undefined	/new-page.html
20240927	09:19:54	d7a4b3d8-17d6-4f24-a6ff-225315a59b52	GET	undefined	/css/style.css
20240927	09:19:54	231f940c-78a8-439a-87a3-a9e56745d84a	GET	undefined	/img/img1.jpg
20240927	09:28:21	6de7c629-d418-48ef-9e46-f0dc9ad7fbb0	GET	undefined	/
20240927	09:28:21	d7873961-5579-4130-98df-4e0e417b4571	GET	undefined	/css/style.css
20240927	09:28:30	e5161f4e-9a73-45b0-bf87-92dbaaa82997	GET	undefined	/subdir
20240927	09:28:50	99b61203-3d30-442f-97b2-a513ddcba947	GET	undefined	/subdir
20240927	09:29:02	651c69f7-3e25-41e1-8183-b52c7cb9a6b0	GET	undefined	/subdir/test
20240927	09:30:57	cd460c90-5d9a-432d-88c4-99eb03860e2c	GET	undefined	/subdir/test
20240927	09:36:52	4a46d6a5-3879-45fd-8631-eabfa7f99262	GET	undefined	/index
20240927	09:36:52	016521ac-1f62-451f-a9ac-e32ee1c2b3c8	GET	undefined	/css/style.css
20240927	09:38:42	cb8af433-50b8-4716-bbab-df5bf5a9b8f3	GET	undefined	/dave
20240927	09:38:53	16a70eea-e65c-4e95-bfc3-7dafbc06d98a	GET	undefined	/subdir
20240927	09:38:53	98f676d9-760d-4718-b851-1b8e3f004c49	GET	undefined	/subdir/
20240927	09:38:58	71816937-da9d-4aa4-bd33-8f97ac2df395	GET	undefined	/subdir/test
20240927	09:39:10	16a1771b-3762-40c5-994b-ec701127ca2f	GET	undefined	/dave
20240927	09:57:11	8eece01a-cc53-4833-9c73-5a97c8f3e453	GET	undefined	/index
20240927	09:57:16	e1862eea-1be4-4263-9fc0-6536498d4227	GET	undefined	/
20240927	09:57:37	771ee837-0f29-4280-a3c3-07ed23d5f332	GET	undefined	/
20240927	09:57:37	db79b2fb-ea9d-4048-9fa1-c6369fb81942	GET	undefined	/css/style.css
20240927	09:57:58	621e6c5b-ecb6-4461-a9a8-182956d65cea	GET	undefined	/new-page.html
20240927	09:57:58	03410835-9de8-4074-84f2-cdfebf3cd141	GET	undefined	/css/style.css
20240927	09:57:58	c24eeb88-e7bd-4ed3-95c7-5e1d47baf75d	GET	undefined	/img/img1.jpg
20240927	09:58:15	c403720c-94c2-4cec-a07e-66231abf40ca	GET	undefined	/new-page.html
20240927	09:58:15	398dd81b-c40e-4ce2-b63d-7b38b793e813	GET	undefined	/css/style.css
20240927	09:58:15	10649710-485c-4206-8b21-7f923109ab7f	GET	undefined	/img/img1.jpg
20240927	09:58:21	91c6abe6-de07-4547-8162-cd0779737cf8	GET	undefined	/index
20240927	09:58:21	bf07cda5-751f-45b6-8e77-e1742db85cd3	GET	undefined	/css/style.css
20240927	10:27:17	e360b7e3-b8f0-492b-90f5-80c3458499ed	GET	undefined	/
20240927	10:31:47	71951136-d530-4a6a-9e82-f193cb93a423	GET	undefined	/
20240927	10:32:04	5fd7acc3-216b-4d48-96fb-e285dc8d2b95	GET	undefined	/
20240927	10:32:55	103b83d2-884b-45d9-afcf-a1fb6b537db7	GET	undefined	/employees
20240927	10:33:50	1ba90784-6874-42d6-8ad1-deb77668f574	POST	undefined	/employees
20240927	10:34:57	052a5873-aa8d-4f51-a5ce-9daf39cbe328	POST	undefined	/employees
20240927	10:36:08	92060567-f0c3-4813-8713-1e025a41478d	PUT	undefined	/employees
20240927	10:36:40	7983e310-ca77-45bf-8d1d-bcc27b11f231	DELETE	undefined	/employees
20240927	10:37:08	f320cfae-aa6e-4ea9-b80b-30ea4d31de41	GET	undefined	/employees/1
20240927	11:03:26	a3a8b065-39c9-4ea0-ae79-6e242502a5b2	GET	undefined	/new-page.html
20240927	11:03:27	49df4f98-4d08-4aa4-8530-1faf3501e507	GET	undefined	/css/style.css
20240927	11:03:27	e1117976-b099-4b9b-907c-ff99eb65080b	GET	undefined	/img/img1.jpg
20240927	11:03:33	0c1f13be-d74f-42ec-a113-c7006055b885	GET	undefined	/new-page.html
20240927	11:03:33	f7343afc-8bef-4906-a0f1-c53d974c52d2	GET	undefined	/css/style.css
20240927	11:03:33	9c3b084d-ef7b-409c-a801-03327410bda3	GET	undefined	/img/img1.jpg
20240927	11:03:39	46980418-a667-44b0-a678-53356271570e	GET	undefined	/1
20240927	11:03:43	abd11d7f-a5fc-40ee-a7ab-63853dcaf620	GET	undefined	/dave
20240927	11:03:43	d6f42762-a4ad-4c11-93cb-500e192f8a92	GET	undefined	/dave
20240927	11:25:13	04557be7-c450-4663-8cbc-bd20a302e2cb	GET	undefined	/
20240927	11:25:14	ab806a92-1823-453b-8127-a70e676ca4ee	GET	undefined	/css/style.css
20240927	11:26:02	d041cffc-c230-4cf0-bd60-da57814b2539	GET	undefined	/employees
20240927	11:26:57	b10752e9-87e2-45f4-8440-141c7f29d90b	POST	undefined	/employees
20240927	11:27:45	8d8e42f1-48b9-4f72-886d-6237d452ddf8	POST	undefined	/employees
20240927	11:28:49	30ff7720-6f2e-4c44-963b-e0b5a8e8e881	POST	undefined	/employees
20240927	11:29:39	b7c86bdf-956f-440c-ad0c-0bb8fd3541b3	PUT	undefined	/employees
20240927	11:32:53	371085bd-d633-4cc4-b423-0c737fc9ebde	PUT	undefined	/employees
20240927	11:33:02	ee5387ad-cd13-4a8e-bb72-1e1472b3b413	PUT	undefined	/employees
20240927	11:33:20	98ec9bc5-9c4d-4fbc-ad05-1ba45ebd5d6a	PUT	undefined	/employees
20240927	11:33:48	97469cc0-d5a4-43b9-815b-11ca1c582d60	PUT	undefined	/employees
20240927	11:34:09	ba825ba5-40d4-4bbc-9efe-ed06ce16a850	PUT	undefined	/employees
20240927	11:36:03	e3fff49d-a078-4f70-ac59-24ce33083fd2	PUT	undefined	/employees
